nn: false ; neighbourhood: swap ; cooling: geo ; alfa: 0.99 ; T_max: 1000
V;sredniczas[ms];sredniwzgledny;sredniWzg[%];sredniBezWzg
11;8.80;0.02;1.79;2.80;
12;10.31;0.03;2.94;5.20;
13;10.69;0.02;1.61;2.80;
5;0.03;0.00;0.00;0.00;
6;0.04;0.00;0.00;0.00;
7;0.10;0.00;0.00;0.00;
8;0.13;0.00;0.00;0.00;
9;0.36;0.00;0.00;0.00;
10;0.25;0.00;0.00;0.00;
11;0.41;0.00;0.00;0.00;
12;0.39;0.00;0.00;0.00;
13;0.69;0.00;0.00;0.00;
17;26.99;0.31;30.91;23.80;
34;111.54;0.35;34.54;444.20;
65;547.76;0.61;60.73;1116.80;
100;10667.56;0.65;64.56;23391.60;
171;8473.17;1.68;168.07;4630.40;
14;14.98;0.01;1.32;44.00;
29;81.47;0.18;18.27;294.20;
100;2019.51;0.96;96.07;20444.80;
137;6120.33;0.90;90.18;62996.20;
150;34742.41;1.21;120.90;31590.00;
200;19752.20;1.28;127.54;37543.80;
nn: false ; neighbourhood: swap ; tabu list size: 20 ; cadence: 50
V;sredniczas[ms];sredniwzgledny;sredniWzg[%];sredniBezWzg
5;0.08;0.00;0.00;0.00;
6;0.03;0.00;0.00;0.00;
7;0.04;0.00;0.00;0.00;
8;0.28;0.00;0.00;0.00;
9;0.96;0.00;0.00;0.00;
10;0.35;0.00;0.00;0.00;
11;4.59;0.00;0.38;0.60;
12;19.65;0.01;1.47;2.60;
13;20.99;0.01;0.92;1.60;
5;0.03;0.00;0.00;0.00;
6;0.04;0.00;0.00;0.00;
7;0.08;0.00;0.00;0.00;
8;0.24;0.00;0.00;0.00;
9;0.68;0.00;0.00;0.00;
10;0.23;0.00;0.00;0.00;
11;0.49;0.00;0.00;0.00;
12;1.47;0.00;0.00;0.00;
13;1.30;0.00;0.00;0.00;
17;56.33;0.11;11.43;8.80;
34;183.45;0.28;28.32;364.20;
65;818.48;0.68;67.61;1243.40;
100;2776.65;0.66;65.53;23743.20;
171;11628.80;1.70;169.65;4673.80;
14;129.74;0.01;1.32;44.00;
29;115.94;0.20;19.76;318.20;
100;2846.72;1.19;119.35;25399.40;
137;8143.49;1.01;100.89;70476.20;
150;9478.41;1.19;119.09;31117.00;
200;24040.39;1.35;134.70;39651.00;
nn: false ; neighbourhood: swap ; tabu list size: 20 ; cadence: 100
V;sredniczas[ms];sredniwzgledny;sredniWzg[%];sredniBezWzg
5;0.02;0.00;0.00;0.00;
6;0.03;0.00;0.00;0.00;
7;0.04;0.00;0.00;0.00;
8;0.10;0.00;0.00;0.00;
9;2.89;0.02;1.90;2.00;
10;0.27;0.00;0.00;0.00;
11;4.05;0.00;0.38;0.60;
12;14.25;0.02;1.58;2.80;
13;20.40;0.02;1.95;3.40;
5;0.02;0.00;0.00;0.00;
6;0.05;0.00;0.00;0.00;
7;0.09;0.00;0.00;0.00;
8;0.22;0.00;0.00;0.00;
9;0.60;0.00;0.00;0.00;
10;0.21;0.00;0.00;0.00;
